bytesPerSecond,query_name,time,tuplesPerSecond,tuplesPerSecond_listener,executionMode,numberOfWorkerThreads,buffersInGlobalBufferManager,joinStrategy,numberOfEntriesSliceCaches,sliceCacheType,bufferSizeInBytes,pageSize
135750873.87427327,NM5,98.393689608,3739908.966378274,4259552.302702703,COMPILER,24,20000,HASH_JOIN,10,NONE,1048576,8192
9874152096.014233,NM5,1.352726717,272030882.05139667,272073000.0,COMPILER,24,20000,HASH_JOIN,10,SECOND_CHANCE,1048576,8192
120948053.1798146,NM8_Variant,61.351684735,3194561.3530673,3185891.8032786883,COMPILER,1,20000,HASH_JOIN,10,NONE,1048576,8192
333849609.6506097,NM8_Variant,22.226675166,8817860.500332829,8756844.036697248,COMPILER,1,20000,HASH_JOIN,10,SECOND_CHANCE,1048576,8192
114242114.75958519,NM8_Variant,64.952989041,3017439.5958326873,3011383.9009287925,COMPILER,4,20000,HASH_JOIN,10,NONE,1048576,8192
807733590.8612537,NM8_Variant,9.186651282,21334403.035850424,20997295.454545453,COMPILER,4,20000,HASH_JOIN,10,SECOND_CHANCE,1048576,8192
111317886.60501507,NM8_Variant,66.659249958,2940202.9144265577,2955490.9316770188,COMPILER,8,20000,HASH_JOIN,10,NONE,1048576,8192
1212431686.4547162,NM8_Variant,6.120234988,32023561.4129658,32026964.285714287,COMPILER,8,20000,HASH_JOIN,10,SECOND_CHANCE,1048576,8192
102969318.00534497,NM8_Variant,72.06386302,2719694.903749555,2820961.1623616237,COMPILER,16,20000,HASH_JOIN,10,NONE,1048576,8192
1444427360.4040945,NM8_Variant,5.137237795,38151187.23738191,38095869.56521739,COMPILER,16,20000,HASH_JOIN,10,SECOND_CHANCE,1048576,8192
107850746.5500275,NM8_Variant,68.802183252,2848626.4786416166,3303520.407216495,COMPILER,24,20000,HASH_JOIN,10,NONE,1048576,8192
1262124450.6110559,NM8_Variant,5.879267155,33336080.13259265,37171724.52380952,COMPILER,24,20000,HASH_JOIN,10,SECOND_CHANCE,1048576,8192
133875505.7212418,NM8,12.121658867,1319951.3511767266,1359790.0,COMPILER,1,312000,HASH_JOIN,10,NONE,409600,8192
182921294.607744,NM8,8.871537972,1803520.432477274,1877146.5476190476,COMPILER,1,312000,HASH_JOIN,10,SECOND_CHANCE,409600,8192
269005841.54646057,NM8,6.032557515,2652274.7541512665,2759714.285714286,COMPILER,4,312000,HASH_JOIN,10,NONE,409600,8192
532637458.0511045,NM8,3.046712518,5251562.103569629,5881769.230769231,COMPILER,4,312000,HASH_JOIN,10,SECOND_CHANCE,409600,8192
286310619.4989712,NM8,5.667946281,2822891.9624088444,2863730.769230769,COMPILER,8,312000,HASH_JOIN,10,NONE,409600,8192
832674104.6726208,NM8,1.948893573,8209786.425315488,9047750.0,COMPILER,8,312000,HASH_JOIN,10,SECOND_CHANCE,409600,8192
278532186.0233587,NM8,5.826232272,2746200.1604181835,2756000.0,COMPILER,16,312000,HASH_JOIN,10,NONE,409600,8192
1144165052.0861251,NM8,1.418320904,11280944.922179615,13741800.0,COMPILER,16,312000,HASH_JOIN,10,SECOND_CHANCE,409600,8192
259134056.44912332,NM8,6.262369498,2554943.4611148206,2582482.7586206896,COMPILER,24,312000,HASH_JOIN,10,NONE,409600,8192
1294603796.5257595,NM8,1.253505679,12764202.243394861,13150750.0,COMPILER,24,312000,HASH_JOIN,10,SECOND_CHANCE,409600,8192
